frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min,lowest_visibility_marker,shoulder_visibility,hip_visibility,knee_visibility,ankle_visibility,heel_visibility,foot_index_visibility
71,4.17546534538269,left,left,92.57005649208679,87.42994350791321,95.8452694620896,84.1547305379104,21.004662147198207,76.95494287801057,17.418434919594716,11.234817995211586,4.106325190662517,OK,0.9768267273902893,heel,0.9998976588249207,0.9997300505638123,0.97817063331604,0.9867763519287109,0.9768267273902893,0.9833131432533264
72,4.232396364212036,left,left,94.2696889136785,85.7303110863215,97.95544685570566,82.04455314429434,20.55221395076256,76.94717125572066,17.426206541884625,11.185143148510384,4.056650343961309,OK,0.9781586527824402,heel,0.9998959302902222,0.9997466802597046,0.9795207977294922,0.9876420497894287,0.9781586527824402,0.9843839406967163
73,4.288831949234009,left,left,94.69610083614583,85.30389916385417,98.24435689117867,81.75564310882133,20.675729794133275,76.78296150933635,17.59041628826894,11.006947358502451,3.878454553953361,OK,0.9792851805686951,heel,0.9998915791511536,0.999758780002594,0.9806867837905884,0.9883538484573364,0.9792851805686951,0.9852334856987
74,4.343098402023315,left,left,102.70551029573207,77.29448970426793,106.73532279480438,73.26467720519562,19.08558419387373,77.59680999797847,16.776567799626818,10.712206690924491,3.5837138863754205,OK,0.9802852272987366,heel,0.9998844265937805,0.9997695088386536,0.9819498062133789,0.989082396030426,0.9802852272987366,0.9861133098602295
75,4.400776147842407,left,left,111.96225107700485,68.03774892299515,116.29782097207448,63.702179027925524,16.962986195689556,79.387174387594,14.986203410011285,10.685730478353175,3.55723767380411,OK,0.9803128838539124,heel,0.9998691082000732,0.9997687935829163,0.9826494455337524,0.9892746210098267,0.9803128838539124,0.9861520528793335
76,4.4478912353515625,left,left,112.9252156596661,67.0747843403339,117.47036397375189,62.52963602624811,16.025306586889275,79.89613834872598,14.477239448879303,10.466593249701056,3.33810044515198,OK,0.9807173013687134,heel,0.9998486042022705,0.9997765421867371,0.9829212427139282,0.9894990921020508,0.9807173013687134,0.9863291382789612
77,4.490635871887207,left,left,128.39904791891337,51.60095208108663,132.15267869504586,47.847321304954136,14.172104725763518,83.57519012321544,10.798187674389851,11.50092562511144,4.372432820562352,OK,0.9803762435913086,heel,0.9998522996902466,0.9997830390930176,0.9832955598831177,0.9896185994148254,0.9803762435913086,0.985997200012207
78,4.565530061721802,left,left,137.4710341940146,42.52896580598539,141.83176283923663,38.16823716076337,11.218275699436417,86.47219106089287,7.901186736712418,12.051195405551294,4.922702601002214,OK,0.9801234006881714,heel,0.9998546242713928,0.9997849464416504,0.9833937287330627,0.9896173477172852,0.9801234006881714,0.9856358170509338
79,4.617897987365723,left,left,141.26807898010546,38.73192101989454,146.2642794159361,33.7357205840639,9.459368872616933,88.09069649438429,6.282681303220997,12.546265802831883,5.4177729982828,OK,0.9789507985115051,heel,0.9998612403869629,0.9997814893722534,0.9830490350723267,0.9891565442085266,0.9789507985115051,0.9841226935386658
80,4.667917966842651,left,left,149.68957438005134,30.31042561994866,154.3039792783596,25.696020721640394,7.165660995900979,89.88405298367535,4.48932481392994,11.664118877884576,4.535626073335493,OK,0.9784120321273804,heel,0.9998661279678345,0.9997795820236206,0.9827864170074463,0.9890531301498413,0.9784120321273804,0.983590304851532
81,4.717729806900024,left,left,151.59245290141797,28.40754709858203,157.86701861353322,22.13298138646678,5.262063494784702,90.12358411414269,4.249793683462599,11.660213321042612,4.531720516493522,OK,0.975729763507843,heel,0.9998692274093628,0.9997560977935791,0.9813278913497925,0.9879828095436096,0.975729763507843,0.9820356369018555
82,4.768330335617065,left,left,165.77297593512975,14.22702406487025,171.21477358785958,8.785226412140418,0.8928373677737029,93.09974477346957,1.2736330241357194,9.434379793973111,2.305886989424039,OK,0.970106303691864,heel,0.9998762011528015,0.9997230768203735,0.979158878326416,0.9863352179527283,0.970106303691864,0.9796554446220398
