frame,time_s,side,facing_direction,knee_internal_angle_deg,knee_flexion_deg,hip_internal_angle_deg,hip_flexion_deg,trunk_flexion_deg,ankle_internal_angle_deg,ankle_dorsiflexion_deg,foot_inclination_deg,foot_inclination_relative_deg,visibility,visibility_min
91,4.986514568328857,left,left,105.4566056789985,74.5433943210015,108.73105468312475,71.26894531687525,19.222483343293465,74.03659102811764,19.337696144700146,6.53352337553735,2.2177834460614747,OK,0.9566143155097961
92,5.041132688522339,left,left,104.23405206098833,75.76594793901167,107.25442793883126,72.74557206116874,19.863175976645252,76.06051448600944,17.31377268680835,8.944066340497619,4.628326411021732,OK,0.9569693207740784
93,5.090979814529419,left,left,99.5824076136287,80.4175923863713,103.08485757310716,76.91514242689284,20.2484793096454,75.92663183174979,17.447655341068,9.677561100873632,5.361821171397764,OK,0.9558137655258179
94,5.136025428771973,left,left,93.7251156700595,86.2748843299405,97.64384884260386,82.35615115739614,20.820095527201428,76.21118522154252,17.163101951275266,10.950013921288312,6.634273991812421,OK,0.9563658237457275
95,5.191847801208496,left,left,93.86657995863561,86.13342004136439,97.9017713488369,82.0982286511631,21.221769517241242,75.49628126472595,17.878005908091836,10.753242172168461,6.437502242692574,OK,0.9564222693443298
96,5.243664503097534,left,left,88.22289697278451,91.77710302721549,92.72100919071431,87.27899080928569,21.524370356750175,74.48177023333162,18.89251693948617,10.504252808011575,6.188512878535704,OK,0.9561960697174072
97,5.317784070968628,left,left,86.71670024727047,93.28329975272953,90.9844402128182,89.0155597871818,21.489391591043923,73.71378370343999,19.6605034693778,9.470915260031653,5.155175330555778,OK,0.9558679461479187
98,5.373056173324585,left,left,86.71824769500893,93.28175230499107,90.64277135686584,89.35722864313416,21.77774676904174,73.63173786892932,19.742549303888467,9.334008299827946,5.018268370352075,OK,0.9563227891921997
99,5.426905632019043,left,left,87.6923539299372,92.3076460700628,90.50010288671886,89.49989711328114,22.871637583640197,73.4394077098354,19.934879462982394,9.11879425025726,4.803054320781371,OK,0.9570637345314026
100,5.504281759262085,left,left,87.40071796625658,92.59928203374342,90.30947018369011,89.69052981630989,22.833901230425873,73.18867688772372,20.18561028509407,8.931330335583107,4.615590406107231,OK,0.9568668007850647
101,5.551481008529663,left,left,87.12959626779286,92.87040373220714,89.83206346337697,90.16793653662303,23.01803443074876,73.70799155157637,19.666295621241417,9.428493177909232,5.112753248433364,OK,0.9552198052406311
102,5.60575008392334,left,left,88.54575778049019,91.45424221950981,91.19561338847181,88.80438661152819,22.82601921283516,73.79570201199486,19.578585160822925,9.271576832811627,4.955836903335751,OK,0.9556356072425842
103,5.645684719085693,left,left,89.09768093604067,90.90231906395933,91.71011035040698,88.28988964959302,22.697756250443604,73.66796738449145,19.70631978832634,8.978153049301351,4.662413119825459,OK,0.9556409120559692
104,5.691608667373657,left,left,89.86996116480597,90.13003883519403,92.77200762855564,87.22799237144436,22.522310131512373,73.25530008664633,20.118987086171458,8.679656681908373,4.3639167524324876,OK,0.9568914771080017
105,5.732638120651245,left,left,90.35244865889663,89.64755134110337,93.40210435933932,86.59789564066068,22.40447317583897,72.9513965085736,20.422890664244193,8.40552538485525,4.089785455379371,OK,0.957857608795166
106,5.771175146102905,left,left,96.02621314083905,83.97378685916095,100.24723009883684,79.75276990116316,21.494379989923672,71.90123515464235,21.473052018175437,7.616632102563803,3.300892173087931,OK,0.9590569734573364
107,5.810026168823242,left,left,98.63369162466692,81.36630837533308,103.09323251626783,76.90676748373217,21.03890717605058,71.29691460853948,22.077372564278306,6.795362676190958,2.47962274671508,OK,0.9600836634635925
108,5.84310245513916,left,left,111.9914952317259,68.0085047682741,115.80613290659983,64.19386709340017,19.343281629822325,72.6391797396449,20.735107433172885,5.797099044341141,1.4813591148652563,OK,0.9627091288566589
109,5.901651382446289,left,left,122.70286631360896,57.297133686391035,123.50861227226638,56.491387727733624,18.302112027620602,77.35868782263545,16.01559935018234,6.466545808913487,2.1508058794375984,OK,0.9648411273956299
110,5.952784776687622,left,left,123.74246131754965,56.257538682450345,124.22661955795112,55.773380442048875,17.98169025288009,78.59643204373342,14.777855129084372,7.062280537014958,2.746540607539089,OK,0.9665969014167786
111,5.989813327789307,left,left,129.92840906945403,50.071590930545966,130.86036469051126,49.13963530948874,15.359458085697762,81.08095074452308,12.293336428294708,7.372364451278075,3.056624521802206,OK,0.9672800898551941
112,6.027704954147339,left,left,132.22842408453994,47.77157591546006,134.4665990687736,45.533400931226396,13.803870210592818,81.84118373253825,11.533103440279532,7.883228927364756,3.567488997888887,OK,0.9676212668418884
